,spread,theta,mu,sigma,signal,a,b
2010-07-28,0.402534468709149,0.16433794198909465,-0.021826626147876657,0.16756143902897785,,0.5627213447257816,-0.606374597021535
2010-07-29,0.33206067726076327,0.16447126722507166,-0.02201493914153933,0.1656117942141265,,0.5554973640943792,-0.5995272423774578
2010-07-30,0.37285300488004225,0.15017646413107855,0.001946454003586808,0.16333656530538146,,0.5980167488607857,-0.594123840853612
2010-08-02,0.3587557885223731,0.12090829932230614,0.011169976871080026,0.15763680426741952,,0.6522977100686798,-0.6299577563265197
2010-08-03,0.2760719445708588,0.12753833468055104,0.009820769044688277,0.15797154325930657,,0.6353872750717876,-0.615745736982411
2010-08-04,0.06783751757438239,0.146608407657655,-0.02055892727637394,0.1616261711313158,,0.5764038390039293,-0.6175216935566773
2010-08-05,0.25178400063438744,0.1391549070683392,0.015593181554061891,0.1622887451683974,,0.6308467443495345,-0.5996603812414107
2010-08-06,0.20867693994917147,0.14002970757635969,0.013422820541784699,0.16051053538840598,,0.6200312629228248,-0.5931856218392555
2010-08-09,0.0162709552303113,0.15372088570894857,0.006455352432956444,0.16311484296678969,,0.5948138646866465,-0.5819031598207336
2010-08-10,0.3012768034393076,0.15450163562159122,0.06257944531618212,0.169339464943378,,0.6718450206268335,-0.5466861299944693
2010-08-11,0.1588685420339786,0.1579312980458917,0.03258667753687075,0.16996369641982867,,0.637421884389473,-0.5722485293157316
2010-08-12,0.15335745626141062,0.15724035601896458,0.03496934817892797,0.1679369412074642,,0.6339037063347326,-0.5639650099768767
2010-08-13,0.31403754126333183,0.14918735592688856,0.06527193626599612,0.167842904503541,,0.6798145110786291,-0.5492706385466368
2010-08-16,0.11650968646642212,0.17743674602154902,0.06790085577673668,0.1714161835730104,,0.6434004706217865,-0.5075987590683132
2010-08-17,0.13165721379764506,0.18248390777689644,0.07724170121257268,0.1715755291865346,,0.6452544176491078,-0.4907710152239625
2010-08-18,-0.1159058711514902,0.18364708400129168,0.03848239144850345,0.1757394602950002,,0.6184346815623646,-0.5414698986653578
2010-08-19,0.1456336430691394,0.1933329957773141,0.06592653543327553,0.17861811284541654,,0.640423190155088,-0.5085701192885369
2010-08-20,0.15185115128980442,0.19259836477644524,0.06861979172637221,0.17659604347640404,,0.6376950043614346,-0.5004554209086901
2010-08-23,0.16053073394395057,0.2710563799708889,0.1230872139753318,0.16832543101604366,,0.5803174227210309,-0.3341429947703673
2010-08-24,0.052848272212365544,0.2960409422270706,0.11826990983636652,0.1703149682323312,,0.5609519744801155,-0.3244121548073824
2010-08-25,0.44794828906208295,0.3368928316007313,0.15110041783043443,0.1835321722475445,,0.5982793325469213,-0.2960784968860524
