datetime,stock_id,side,reason,price,shares,fee,tax,cash_after,pnl,return_pct
2023-02-15 11:00:00,1570,sell,stop,17.85,1,0.007122150000000002,0.05355000000000001,151491.3102010999,-0.21785415000000086,-0.01209818115905092
2023-02-15 11:00:00,1595,sell,stop,38.15,1302,19.8188487,149.01389999999998,200993.7774523999,-514.2814719000016,-0.010282185168534455
2023-02-15 12:00:00,1201,buy,pullback_contract,20.45,2444,19.9419402,0.0,150994.03551219992,,
2023-02-15 12:00:00,1256,buy,pullback_contract,305.0,163,19.836285,0.0,101259.19922719992,,
2023-02-15 12:00:00,1313,buy,pullback_contract,15.1,3311,19.948443900000004,0.0,51243.15078329992,,
2023-02-15 12:00:00,1314,buy,pullback_contract,10.2,4901,19.946089800000003,0.0,1233.004693499919,,
2023-02-15 12:00:00,1455,buy,pullback_contract,10.85,113,0.48919395000000004,0.0,6.465499549919059,,
2023-02-15 12:00:00,9105,buy,pullback_contract,4.13,1,0.00164787,0.0,2.333851679919059,,
2023-02-15 13:00:00,1313,sell,stop,15.1,3311,19.948443900000004,149.9883,49828.49710777992,-189.88518779999868,-0.003796485202404214
2023-02-15 13:00:00,1314,sell,stop,10.2,4901,19.946089800000003,149.9706,99648.78041797991,-189.86277960000734,-0.0037964852024043876
2023-02-15 13:00:00,1455,sell,stop,10.8,113,0.4869396000000001,3.6612000000000005,100865.03227837992,-10.287333549999857,-0.008387284809766317
2023-02-16 10:00:00,1256,buy,confirm_breakout,309.0,161,19.849851,0.0,51096.18242737992,,
2023-02-16 10:00:00,1437,buy,confirm_breakout,28.5,1754,19.945611000000003,0.0,1087.2368163799183,,
2023-02-16 13:00:00,9105,buy,confirm_breakout,4.15,261,0.43217685000000006,0.0,3.654639529918313,,
2023-02-20 10:00:00,3570,sell,stop,95.1,512,19.4277888,146.0736,48529.35325072991,-1414.219468800009,-0.02831841787434524
2023-02-21 10:00:00,2897,sell,stop,9.65,3,0.011551050000000002,0.08685000000000001,48558.20484967991,1.230582560000002,0.0445523996157334
2023-02-21 12:00:00,1201,sell,stop,20.3,2444,19.795666800000003,148.83960000000002,98002.76958287992,-555.1772069999861,-0.011103601447863102
2023-02-21 13:00:00,1102,buy,pullback_contract,44.05,1135,19.94870325,0.0,47986.07087962992,,
2023-02-21 13:00:00,1104,buy,pullback_contract,24.25,1978,19.138633500000005,0.0,0.4322461299234419,,
2023-02-22 10:00:00,1231,sell,stop,84.0,593,19.874988000000002,149.436,49643.12125812992,-307.83329740000045,-0.006162764334940107
2023-02-22 11:00:00,9105,sell,stop,4.14,262,0.43278732,3.2540399999999994,50724.11443080992,-6.720652040000232,-0.006178695064145448
2023-02-22 12:00:00,2035,buy,pullback_contract,32.2,1552,19.939785600000004,0.0,729.7746452099163,,
2023-02-22 12:00:00,1339,buy,pullback_contract,42.65,17,0.28929495000000005,0.0,4.43535025991639,,
2023-02-22 12:00:00,9110,buy,pullback_contract,3.26,1,0.0013007399999999999,0.0,1.1740495199163905,,
2023-02-23 10:00:00,9110,sell,stop,3.3,1,0.0013167,0.009899999999999999,4.4628328199163905,0.027482560000000156,0.008426870807382258
2023-02-24 11:00:00,2035,sell,stop,31.65,1552,19.5991992,147.36239999999998,48958.30123361992,-1040.5013848000017,-0.020812383747083704
2023-03-01 11:00:00,1101,sell,stop,37.6,2684,40.26644160000001,302.75520000000006,149533.67959201994,560.9885329000099,0.005609078192436049
2023-03-01 11:00:00,1301,sell,stop,90.3,1113,40.1010561,301.51169999999996,249695.96683591994,234.53197179998097,0.002347015312826332
2023-03-01 12:00:00,1264,buy,pullback_contract,271.5,184,19.932444000000004,0.0,199720.03439191994,,
2023-03-01 12:00:00,1268,buy,pullback_contract,152.5,327,19.8971325,0.0,149832.63725941995,,
2023-03-01 12:00:00,1304,buy,pullback_contract,24.8,2016,19.948723200000003,0.0,99815.88853621995,,
2023-03-01 12:00:00,1310,buy,pullback_contract,14.05,3558,19.9459701,0.0,49806.04256611995,,
2023-03-01 12:00:00,1324,buy,pullback_contract,11.2,4445,19.863816000000003,0.0,2.178750119950564,,
2023-03-01 13:00:00,1310,sell,stop,14.05,3558,19.9459701,149.96970000000002,49822.16308001995,-189.86164020000433,-0.0037964852024043273
2023-03-02 11:00:00,1304,sell,stop,24.6,2016,19.787846400000006,148.78080000000003,99247.19443361995,-591.7173696000027,-0.011830384515288131
2023-03-02 11:00:00,1339,buy,confirm_breakout,43.4,1152,19.948723200000003,0.0,49230.445710419954,,
2023-03-02 11:00:00,1437,sell,stop,29.5,3456,40.678848,305.856,150835.91086241996,4943.112255800006,0.05113792606629515
2023-03-03 09:00:00,1432,sell,stop,18.2,5760,41.827968000000006,314.496,255311.58689441998,8757.799831700017,0.09149596898047942
2023-03-03 10:00:00,1108,buy,pullback_contract,13.95,3584,19.948723200000003,0.0,205294.83817121998,,
2023-03-03 10:00:00,1109,buy,pullback_contract,16.95,2949,19.94423445,0.0,155289.34393677,,
2023-03-03 10:00:00,1229,buy,pullback_contract,54.0,925,19.930050000000005,0.0,105319.41388677,,
2023-03-03 10:00:00,1236,buy,pullback_contract,24.7,2024,19.9471272,0.0,55306.66675957,,
2023-03-03 10:00:00,1259,buy,pullback_contract,77.8,642,19.929092400000002,0.0,5339.137667169998,,
2023-03-03 10:00:00,1414,buy,pullback_contract,18.0,296,2.125872,0.0,9.01179516999855,,
