,Profit,Profitfee,cumReturn,Drawdown
2022-08-30 06:00:00+08:00,-780.3992499755519,-780.3992499755519,530433.249894124,0.003501713054862107
2022-08-30 07:00:00+08:00,415.0007185647843,415.0007185647843,530848.2506126887,0.002722072062874338
2022-08-30 08:00:00+08:00,-279.73973372564046,-279.73973372564046,530568.510878963,0.0032476050408763017
2022-08-30 09:00:00+08:00,184.26630892476055,184.26630892476055,530752.7771878878,0.0029014331875434206
2022-08-30 10:00:00+08:00,526.4762983998941,526.4762983998941,531279.2534862877,0.0019123686264937738
2022-08-30 11:00:00+08:00,562.9591839050603,562.9591839050603,531842.2126701927,0.0008547655020791921
2022-08-30 12:00:00+08:00,-236.82300693530155,-236.82300693530155,531605.3896632574,0.001299672982459295
2022-08-30 13:00:00+08:00,68.98855135717108,68.98855135717108,531674.3782146146,0.0011700676583964132
2022-08-30 14:00:00+08:00,407.93723121234575,407.93723121234575,532082.315445827,0.00040369648508586323
2022-08-30 15:00:00+08:00,-135.10939309292445,-135.10939309292445,531947.206052734,0.0006575197112772188
2022-08-30 16:00:00+08:00,-35.472703505956034,-35.472703505956034,531911.733349228,0.0007241604964921415
2022-08-30 17:00:00+08:00,566.3313124102215,566.3313124102215,532478.0646616382,-0.0
2022-08-30 18:00:00+08:00,-221.1660745066963,-221.1660745066963,532256.8985871315,0.000415352460851594
2022-08-30 19:00:00+08:00,-257.642242674192,-257.642242674192,531999.2563444573,0.0008992075898660975
2022-08-30 20:00:00+08:00,-16.632167726510175,-16.632167726510175,531982.6241767308,0.0009304429943462637
2022-08-30 21:00:00+08:00,303.2001020288418,303.2001020288418,532285.8242787595,0.00036102967546813505
2022-08-30 22:00:00+08:00,111.40844540917195,111.40844540917195,532397.2327241687,0.00015180331892339352
2022-08-30 23:00:00+08:00,5.394701198304496,5.394701198304496,532402.627425367,0.00014167200731386546
2022-08-31 00:00:00+08:00,208.2165690609097,208.2165690609097,532610.8439944279,-0.0
2022-08-31 01:00:00+08:00,326.23771014792726,326.23771014792726,532937.0817045759,-0.0
2022-08-31 02:00:00+08:00,-286.4712159291631,-286.4712159291631,532650.6104886468,0.0005375329016567433
2022-08-31 03:00:00+08:00,632.3474714165282,632.3474714165282,533282.9579600634,-0.0
2022-08-31 04:00:00+08:00,-33.89421864178823,-33.89421864178823,533249.0637414216,6.355766321776445e-05
2022-08-31 05:00:00+08:00,-194.05690107231194,-194.05690107231194,533055.0068403493,0.00042744872363076374
2022-08-31 06:00:00+08:00,343.3850245007734,343.3850245007734,533398.3918648501,-0.0
