,TodayBalance,YesBalance,buy,date,name,Return,sell
369,6625473,6629180,407630,2020-07-10,MarginPurchase,4983,406354
370,721405,725122,39181,2020-07-10,ShortSale,3284,38748
371,132684802000,134325213000,11338746000,2020-07-10,MarginPurchaseMoney,121148000,12858009000
372,6705999,6625473,406727,2020-07-13,MarginPurchase,3091,323110
373,724293,721405,25498,2020-07-13,ShortSale,2693,31079
374,135268907000,132684802000,11228142000,2020-07-13,MarginPurchaseMoney,69542000,8574495000
375,725987,724293,24706,2020-07-14,ShortSale,2169,28569
376,6680576,6705999,332497,2020-07-14,MarginPurchase,5699,352221
377,135373135000,135268907000,8886682000,2020-07-14,MarginPurchaseMoney,126522000,8655931000
378,134816884000,135373135000,9843478000,2020-07-15,MarginPurchaseMoney,128572000,10271157000
379,6697419,6680575,403454,2020-07-15,MarginPurchase,4493,382117
380,718250,725987,26764,2020-07-15,ShortSale,5880,24907
