買進,日期,種類,賣出
34757825996,2020-04-22,Foreign_Investor,38207567786
2467889010,2020-04-23,Investment_Trust,1064088506
1105620,2020-04-23,Foreign_Dealer_Self,1687280
4442471031,2020-04-23,Dealer_Hedging,4950617575
42755947915,2020-04-23,total,45928047094
34741296314,2020-04-23,Foreign_Investor,38551730694
1104291560,2020-04-23,Dealer_self,1361610319
1586308910,2020-04-24,Investment_Trust,941196083
1234670,2020-04-24,Foreign_Dealer_Self,2657900
33862538006,2020-04-24,total,39302194781
28034671990,2020-04-24,Foreign_Investor,33713338103
837301050,2020-04-24,Dealer_self,896001842
3404256056,2020-04-24,Dealer_Hedging,3751658753
2092020920,2020-04-27,Dealer_self,856736977
6939713690,2020-04-27,Dealer_Hedging,4667247349
50719387346,2020-04-27,Foreign_Investor,33835835384
2067370,2020-04-27,Foreign_Dealer_Self,4287400
62154490296,2020-04-27,total,40880873780
2403368340,2020-04-27,Investment_Trust,1521054070
5771414880,2020-04-28,Dealer_Hedging,4652774472
1959107850,2020-04-28,Dealer_self,1099906051
38425343726,2020-04-28,Foreign_Investor,40083003168
3877906380,2020-04-28,Investment_Trust,1793327350
3906160,2020-04-28,Foreign_Dealer_Self,2568910
50033772836,2020-04-28,total,47629011041
4766342425,2020-04-29,Dealer_Hedging,5630686084
1822489340,2020-04-29,Dealer_self,2738197405
3859320,2020-04-29,Foreign_Dealer_Self,3390670
67462989648,2020-04-29,total,50115908355
2542950420,2020-04-29,Investment_Trust,1442640872
58331207463,2020-04-29,Foreign_Investor,40304383994
3680620,2020-04-30,Foreign_Dealer_Self,4940140
82042015063,2020-04-30,total,58183550066
4796857290,2020-04-30,Investment_Trust,2118797550
67595945763,2020-04-30,Foreign_Investor,49004346092
2291949690,2020-04-30,Dealer_self,1814763221
7357262320,2020-04-30,Dealer_Hedging,5245643203
36523623580,2020-05-04,Foreign_Investor,73487775454
3928403552,2020-05-04,Dealer_Hedging,9210713813
1122274640,2020-05-04,Dealer_self,1590396734
1681684310,2020-05-04,Investment_Trust,1628123859
43255986082,2020-05-04,total,85917009860
2542850,2020-05-04,Foreign_Dealer_Self,2007430
1619107890,2020-05-05,Dealer_self,1461333140
1672320,2020-05-05,Foreign_Dealer_Self,5604060
3664234292,2020-05-05,Dealer_Hedging,5675864017
27816466768,2020-05-05,Foreign_Investor,40203775388
2112556366,2020-05-05,Investment_Trust,2161049654
35212365316,2020-05-05,total,49502022199
4113458353,2020-05-06,Dealer_Hedging,6345626318
2527625765,2020-05-06,Investment_Trust,1998089000
1380442420,2020-05-06,Dealer_self,2781129690
40517175358,2020-05-06,Foreign_Investor,45800222707
3641710,2020-05-06,Foreign_Dealer_Self,3169610
48538701896,2020-05-06,total,56925067715
47122995854,2020-05-07,total,47853792385
2622302428,2020-05-07,Investment_Trust,1680991094
38131417605,2020-05-07,Foreign_Investor,39944267796
1954164036,2020-05-07,Dealer_self,1067795620
3075360,2020-05-07,Foreign_Dealer_Self,3905300
4415111785,2020-05-07,Dealer_Hedging,5160737875
48286190240,2020-05-08,total,50743120644
2376507810,2020-05-08,Investment_Trust,1871903500
39452177322,2020-05-08,Foreign_Investor,43557798409
4572211148,2020-05-08,Dealer_Hedging,3977389985
4091500,2020-05-08,Foreign_Dealer_Self,5064520
1885293960,2020-05-08,Dealer_self,1336028750
1558958980,2020-05-11,Dealer_self,1044629162
2310454450,2020-05-11,Investment_Trust,1539559950
4637122356,2020-05-11,Dealer_Hedging,5439414914
36055663199,2020-05-11,Foreign_Investor,33242851500
44562198985,2020-05-11,total,41266455526
4596880,2020-05-11,Foreign_Dealer_Self,4218660
31957904555,2020-05-12,Foreign_Investor,57050817836
38979548179,2020-05-12,total,64718702406
6791390,2020-05-12,Foreign_Dealer_Self,5742410
1186098730,2020-05-12,Dealer_self,1371324027
1887593700,2020-05-12,Investment_Trust,1485819682
3947951194,2020-05-12,Dealer_Hedging,4810740861
40369251704,2020-05-13,Foreign_Investor,45129185837
49673995599,2020-05-13,total,53098402557
3723440,2020-05-13,Foreign_Dealer_Self,4068720
1463881470,2020-05-13,Dealer_self,1243633930
4838640005,2020-05-13,Dealer_Hedging,4579236320
3002222420,2020-05-13,Investment_Trust,2146346470
4245546104,2020-05-14,Dealer_Hedging,7021243474
1459367950,2020-05-14,Dealer_self,2203152100
32864837364,2020-05-14,Foreign_Investor,51734207443
5394190,2020-05-14,Foreign_Dealer_Self,2705550
40687705808,2020-05-14,total,62788046767
2117954390,2020-05-14,Investment_Trust,1829443750
52484763743,2020-05-15,total,55725980895
4641041038,2020-05-15,Dealer_Hedging,5301795093
1668006960,2020-05-15,Dealer_self,2108118274
3263340,2020-05-15,Foreign_Dealer_Self,3052460
2192827690,2020-05-15,Investment_Trust,2412283040
43982888055,2020-05-15,Foreign_Investor,45903784488
